AH As­per­ges wit	Aardappel, groente, fruit/Witte asperges	5.99	500 g
AH Wit­te as­per­ge tips	Aardappel, groente, fruit/Witte asperges	2.99	100 g
AH Bui­ten­been­tjes wit­te as­per­ges	Aardappel, groente, fruit/Witte asperges	6.99	1 kg
AH As­per­ges ge­schild	Aardappel, groente, fruit/Witte asperges	5.99	400 g
AH Ver­s­pak­ket as­per­ge­soep	Soepen, conserven, sauzen, smaakmakers/Soeppakketten (vers)	5.99	750 g
AH Groe­ne as­per­ges	Aardappel, groente, fruit/Groene asperges	3.89	350 g
AH Fijn­ge­sne­den an­dij­vie voor­deel	Aardappel, groente, fruit/Andijvie (vers)	1.99	500 g
AH Biet­jes ge­kookt	Aardappel, groente, fruit/Bietjes (vers)	2.0	500 g
AH Bi­o­lo­gisch Ge­rasp­te biet­jes	Aardappel, groente, fruit/Bietjes (vers)	2.0	400 g
AH Cham­pig­nons voor­deel	Aardappel, groente, fruit/Champignons (vers)	1.27	400 g
AH Ge­sne­den cham­pig­nons	Aardappel, groente, fruit/Champignons (vers)	1.99	250 g
AH Kool­raap	Aardappel, groente, fruit/Koolraap	1.69	400 g
AH Pak­soi	Aardappel, groente, fruit/Paksoi	1.75	per stuk
AH Ro­de pa­pri­ka	Aardappel, groente, fruit/Rode paprika	0.99	per stuk
AH Prei	Aardappel, groente, fruit/Hele prei (vers)	0.55	per stuk
AH Prei	Aardappel, groente, fruit/Gesneden prei (vers)	1.29	400 g
AH Ra­dijs	Aardappel, groente, fruit/Radijs (verpakt)	0.99	per bos
AH Bi­o­lo­gisch Ro­de­kool ge­sne­den	Aardappel, groente, fruit/Rode kool (vers)	1.29	300 g
AH Spi­na­zie	Aardappel, groente, fruit/Spinazie (vers)	1.89	400 g
AH Veld­sla voor­deel	Aardappel, groente, fruit/Veldsla	1.69	150 g
AH Mes­clun sa­la­de met veld­sla	Aardappel, groente, fruit/Bladsla	2.29	200 g
AH Ge­schil­de bos­peen	Aardappel, groente, fruit/Bospeen	2.49	600 g
AH Wit­lof	Aardappel, groente, fruit/Witlof	1.49	4 stuks
AH Vers sap si­naas­ap­pel-ba­naan	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
AH Ver­se smoot­hie ap­pel-ba­naan-aard­bei	Frisdrank, sappen, koffie, thee/Smoothie-fruit (vers)	2.39	500 ml
AH Vers groen­te­sap spi­na­zie-avo­ca­do- ap­pel	Frisdrank, sappen, koffie, thee/Groentesap (vers)	1.69	250 ml
AH Vers sap si­naas­ap­pel-aard­bei	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
AH Vers sap si­naas­ap­pel-ki­wi	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	3.29	1 l
AH Vers sap man­go-si­naas­ap­pel- ap­pel	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	3.29	1 l
AH Vers sap si­naas­ap­pel	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	1.99	500 ml
AH Bi­o­lo­gisch Si­naas­ap­pel Bio	Frisdrank, sappen, koffie, thee/Sinaasappelsap & drank (gekoeld)	2.39	750 ml
AH Vers sap si­naas­ap­pel	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	2.99	1 l
Fruit­box	Aardappel, groente, fruit/Groente- en fruitbox	14.99	35 stuks
AH Ana­nas	Aardappel, groente, fruit/Ananas per stuk	1.95	per stuk
AH Ver­se ana­nas stuk­jes	Aardappel, groente, fruit/Ananas stukjes	2.0	250 g
AH Els­tar	Aardappel, groente, fruit/Appels friszoet	3.49	1,5 kg
AH Avo­ca­do ee­t­rijp	Aardappel, groente, fruit/Avocado	2.99	2 stuks
Chi­quita Ba­na­nen	Aardappel, groente, fruit/Bananen	1.89	1 kg
AH Ci­troe­nen voor­deel	Aardappel, groente, fruit/Verse citroenen	1.39	5 stuks
AH Ki­wi groen	Aardappel, groente, fruit/Kiwi	3.59	1 kg
AH Man­da­rij­nen net	Aardappel, groente, fruit/Verse mandarijnen	2.49	1 kg
AH Ee­t­rij­pe con­fe­ren­ce pe­ren	Aardappel, groente, fruit/Peren zoet en aromatisch	2.29	4 stuks
AH Ki­wif­ruit ee­t­rijp	Aardappel, groente, fruit/Kiwi	2.59	4 stuks
AH Avo­ca­do's	Aardappel, groente, fruit/Avocado	3.29	750 g
Al­ler­han­de Box Paas­box	Aardappel, groente, fruit/Allerhande Box	37.5	per stuk
AH Al­ler­han­de brunch wijn­box	Wijn/Wijn specials (feestdagen)	10.0	2 x 0,75 l
AH Kom­kom­mer	Aardappel, groente, fruit/Komkommer (vers)	0.99	per stuk
AH Ro­de pa­pri­ka	Aardappel, groente, fruit/Rode paprika	0.99	per stuk
AH Cour­get­te	Aardappel, groente, fruit/Courgette (vers)	0.85	per stuk
AH Snoep­groen­te to­maat	Bewuste voeding/Tomaat (snoepgroente)	2.99	500 g
AH Prei	Aardappel, groente, fruit/Hele prei (vers)	0.55	per stuk
AH Avo­ca­do ee­t­rijp	Aardappel, groente, fruit/Avocado	2.99	2 stuks
AH Trosto­ma­ten	Aardappel, groente, fruit/Trostomaat	1.99	5 stuks
AH Ge­schrap­te wor­tel­tjes voor­deel	Aardappel, groente, fruit/Wortelen (vers)	1.49	500 g
AH Broc­co­li	Aardappel, groente, fruit/Broccoli (vers)	0.69	500 g
AH Cher­ry to­ma­ten	Aardappel, groente, fruit/Cherry tomaten (vers)	1.19	250 g
AH Avo­ca­do	Aardappel, groente, fruit/Avocado	1.19	per stuk
AH Pa­pri­ka mix	Aardappel, groente, fruit/Paprika mix (vers)	1.49	3 stuks
Ba­na­nen zak	Aardappel, groente, fruit/Bananen	0.99	5 stuks
Chi­quita Ba­na­nen	Aardappel, groente, fruit/Bananen	1.89	1 kg
AH Man­da­rij­nen net	Aardappel, groente, fruit/Verse mandarijnen	2.49	1 kg
AH Pit­lo­ze wit­te drui­ven	Aardappel, groente, fruit/Verse witte druiven	2.49	500 g
AH Con­fe­ren­ce pe­ren	Aardappel, groente, fruit/Peren zoet en aromatisch	1.69	1 kg
AH Zoe­te klei­ne ap­pel­tjes	Aardappel, groente, fruit/Appels zoet	1.99	1 kg
Pink La­dy Ap­pe­len	Aardappel, groente, fruit/Appels extra zoet	2.99	4 stuks
AH Pit­lo­ze ro­de drui­ven	Aardappel, groente, fruit/Verse rode druiven	2.89	500 g
AH Man­go	Aardappel, groente, fruit/Mango per stuk	1.99	per stuk
AH Els­tar	Aardappel, groente, fruit/Appels friszoet	3.49	1,5 kg
AH Pers­si­naas­ap­pe­len	Aardappel, groente, fruit/Verse sinaasappels	2.79	2 kg
AH Bi­o­lo­gisch Ba­na­nen	Aardappel, groente, fruit/Bananen	1.99	5 stuks
AH Stamp­pot aard­ap­pe­len	Aardappel, groente, fruit/Stamppot aardappelen	1.29	600 g
AH Ki­lo'tje iets krui­mi­ge aard­ap­pe­len	Aardappel, groente, fruit/Aardappel iets kruimig - met schil	1.89	1 kg
AH Iets krui­mi­ge aard­ap­pe­len	Aardappel, groente, fruit/Aardappel iets kruimig - met schil	3.79	3 kg
AH Aard­ap­pe­len iets krui­mig voor­deel	Aardappel, groente, fruit/Aardappel iets kruimig - met schil	4.79	5 kg
AH Duop­ak schijf­jes	Aardappel, groente, fruit/Aardappelschijfjes (vers)	1.39	2 x 400 g
AH Ki­lo'tje zoe­te aard­ap­pel	Aardappel, groente, fruit/Zoete aardappelen	2.23	1 kg
Kriel­tjes	Aardappel, groente, fruit/Krieltjes - geschild	0.95	600 g
AH Bar­be­cue mi­ni­k­riel­tjes	Aardappel, groente, fruit/Krieltjes - geschild	1.0	450 g
Cê­la­Víta Mi­ni-kriel­tjes	Aardappel, groente, fruit/Krieltjes - geschild	1.07	450 g
AH Stamp­pot aard­ap­pe­len	Aardappel, groente, fruit/Stamppot aardappelen	1.79	1 kg
Cê­la­Víta Oma's op­bak aard­ap­pel­tjes	Aardappel, groente, fruit/Aardappelpartjes (vers)	1.49	450 g
AH Vast­ko­ken­de aard­ap­pe­len	Aardappel, groente, fruit/Aardappel vastkokend - met schil	2.79	3 kg
AH Knof­look	Aardappel, groente, fruit/Knoflook (vers)	0.86	2 stuks
AH Ver­se ba­si­li­cum	Soepen, conserven, sauzen, smaakmakers/Basilicum (vers)	1.49	15 g
AH Ro­de pe­per	Soepen, conserven, sauzen, smaakmakers/Peper (vers)	0.29	per stuk
AH Bi­o­lo­gisch Gem­ber (ver­se gem­ber­wor­tel)	Soepen, conserven, sauzen, smaakmakers/Gember (vers)	1.79	150 g
AH Munt voor­deel	Soepen, conserven, sauzen, smaakmakers/Verse munt	1.45	40 g
AH Ko­ri­an­der	Soepen, conserven, sauzen, smaakmakers/Koriander (vers)	1.29	15 g
AH Plat­te pe­ter­se­lie	Soepen, conserven, sauzen, smaakmakers/Peterselie (vers)	1.19	15 g
AH Pe­ter­se­lie	Soepen, conserven, sauzen, smaakmakers/Peterselie (vers)	0.99	30 g
AH Bi­o­lo­gisch Knof­look	Aardappel, groente, fruit/Knoflook (vers)	1.05	100 g
AH Bies­look	Soepen, conserven, sauzen, smaakmakers/Bieslook (vers)	1.39	25 g
AH Ko­ri­an­der voor­deel	Soepen, conserven, sauzen, smaakmakers/Koriander (vers)	1.65	40 g
AH Munt	Soepen, conserven, sauzen, smaakmakers/Verse munt	1.29	15 g
AH Snoep­groen­te to­maat	Bewuste voeding/Tomaat (snoepgroente)	2.99	500 g
AH Ge­schrap­te wor­tel­tjes voor­deel	Aardappel, groente, fruit/Wortelen (vers)	1.49	500 g
AH Cher­ry to­ma­ten	Aardappel, groente, fruit/Cherry tomaten (vers)	1.19	250 g
AH Ge­schrap­te wor­tel­tjes	Aardappel, groente, fruit/Wortelen (vers)	1.0	300 g
AH Ri­vo­lo cher­ry­to­maat	Aardappel, groente, fruit/Cherry tomaten (vers)	2.0	400 g
AH Snoep­groen­te wor­tel­tjes	Aardappel, groente, fruit/Wortelen (vers)	0.89	150 g
AH Snoep­groen­te to­ma­ten­mix	Bewuste voeding/Tomaat (snoepgroente)	2.99	500 g
AH Wor­te­len	Aardappel, groente, fruit/Wortelen (vers)	1.0	500 g
AH Snoep­groen­te kom­kom­mer	Bewuste voeding/Komkommer (snoepgroente)	2.99	400 g
AH Bi­o­lo­gisch Cher­ry to­ma­ten	Aardappel, groente, fruit/Cherry tomaten (vers)	1.99	250 g
AH Snoep­groen­te pa­pri­ka	Bewuste voeding/Paprika (snoepgroente)	2.99	300 g
Su­bliem Van Looi­je Su­bliem to­maat­jes	Aardappel, groente, fruit/Cherry tomaten (vers)	2.99	180 g
AH Vers sap si­naas­ap­pel	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	2.99	1 l
AH Vers sap si­naas­ap­pel	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	1.99	500 ml
AH Vers groen­te­sap spi­na­zie-avo­ca­do- ap­pel	Frisdrank, sappen, koffie, thee/Groentesap (vers)	1.69	250 ml
AH Ver­se smoot­hie ap­pel-ba­naan-aard­bei	Frisdrank, sappen, koffie, thee/Smoothie-fruit (vers)	2.39	500 ml
AH Vers groen­te­sap wor­tel-si­nas-gem­ber	Frisdrank, sappen, koffie, thee/Groentesap (vers)	1.69	250 ml
In­no­cent Oran­ge jui­ce with bits	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	2.29	900 ml
AH Vers sap si­naas­ap­pel-aard­bei	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
AH Vers sap si­naas­ap­pel-ba­naan	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
AH Vers sap ap­pel-peer-fram­boos	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
AH Vers sap ap­pel-peer-fram­boos	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	3.29	1 l
Tro­pi­ca­na Oran­ges with pulp	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	2.69	1 l
AH Ver­se smoot­hie man­go mara­cu­ja si­naasap	Frisdrank, sappen, koffie, thee/Smoothie-fruit (vers)	2.39	500 ml
