Dou­we Eg­berts Aro­ma rood kof­fie snel­fil­ter­ma­ling	Frisdrank, sappen, koffie, thee/Filterkoffie (mild)	5.75	500 g
LU Bas­tog­ne bis­cuits ori­gi­nal	Snoep, koek, chips/Alledaagse koeken	1.45	260 g
Pickwick Green tea le­mon ori­gi­nal	Frisdrank, sappen, koffie, thee/Groene thee	2.49	40 stuks
Cô­te d'Or Bon­bon­bloc pra­li­ne melk	Snoep, koek, chips/Melk chocolade met vulling, praliné	2.69	200 g
AH Voor­jaars­sap met Kaap­se kruis­bes	Frisdrank, sappen, koffie, thee/Lente sap	2.19	500 ml
AH Vers sap si­naas­ap­pel	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	2.99	1 l
AH Vers sap si­naas­ap­pel	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	1.99	500 ml
AH Vers groen­te­sap spi­na­zie-avo­ca­do- ap­pel	Frisdrank, sappen, koffie, thee/Groentesap (vers)	1.69	250 ml
AH Vers groen­te­sap wor­tel-si­nas-gem­ber	Frisdrank, sappen, koffie, thee/Groentesap (vers)	1.69	250 ml
AH Vers sap si­naas­ap­pel-aard­bei	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
In­no­cent Oran­ge jui­ce with bits	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	2.29	900 ml
AH Vers sap si­naas­ap­pel-ba­naan	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
AH Vers sap ap­pel-peer-fram­boos	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	2.19	500 ml
AH Vers sap ap­pel-peer-fram­boos	Frisdrank, sappen, koffie, thee/Multivruchtensap (vers)	3.29	1 l
Tro­pi­ca­na Oran­ges with pulp	Frisdrank, sappen, koffie, thee/Sinaasappelsap _ jus d'orange (vers)	2.69	1 l
AH Vers groen­te­sap ro­de biet-ap­pel	Frisdrank, sappen, koffie, thee/Groentesap (vers)	1.69	250 ml
Ho­nest Iced tea gra­naat­ap­pel & bos­bes­sen	Frisdrank, sappen, koffie, thee/Frisse fruitdrank (flessen)	1.09	375 ml
Ho­nest Iced tea si­naas­ap­pel & man­go	Frisdrank, sappen, koffie, thee/Frisse fruitdrank (flessen)	1.09	375 ml
Ho­nest Iced tea ho­ning & ci­troen	Frisdrank, sappen, koffie, thee/Frisse fruitdrank (flessen)	1.09	375 ml
Per­la Su­pe­ri­o­re Lun­go ori­gi­na­le cap­su­les	Frisdrank, sappen, koffie, thee/Capsules voor Nespresso koffiesysteem	2.79	10 stuks
Per­la Su­pe­ri­o­re Es­pres­so scu­ro bo­nen	Frisdrank, sappen, koffie, thee/Koffiebonen	12.99	1 kg
Per­la Su­pe­ri­o­re Lun­go in­ten­so cap­su­les	Frisdrank, sappen, koffie, thee/Capsules voor Nespresso koffiesysteem	2.79	10 stuks
Per­la Su­pe­ri­o­re Es­pres­so ori­gi­na­le bo­nen	Frisdrank, sappen, koffie, thee/Koffiebonen	12.99	1 kg
Per­la Su­pe­ri­o­re Es­pres­so scu­ro cap­su­les	Frisdrank, sappen, koffie, thee/Capsules voor Nespresso koffiesysteem	2.79	10 stuks
Per­la Su­pe­ri­o­re Su­pe­ri­o­re es­pres­so scu­ro bo­nen	Frisdrank, sappen, koffie, thee/Koffiebonen	7.29	500 g
Per­la Su­pe­ri­o­re Es­pres­so ri­stret­to cap­su­les	Frisdrank, sappen, koffie, thee/Capsules voor Nespresso koffiesysteem	2.79	10 stuks
Per­la Su­pe­ri­o­re Es­pres­so ori­gi­na­le bo­nen	Frisdrank, sappen, koffie, thee/Koffiebonen	7.29	500 g
Per­la Su­pe­ri­o­re Es­pres­so for­te cap­su­les	Frisdrank, sappen, koffie, thee/Capsules voor Nespresso koffiesysteem	2.79	10 stuks
Per­la Su­pe­ri­o­re Es­pres­so for­te bo­nen	Frisdrank, sappen, koffie, thee/Koffiebonen	12.99	1 kg
Per­la Su­pe­ri­o­re Lun­go de­caf­fei­na­to cap­su­les	Frisdrank, sappen, koffie, thee/Capsules voor Nespresso koffiesysteem	2.79	10 stuks
Per­la Su­pe­ri­o­re Es­pres­so for­te bo­nen	Frisdrank, sappen, koffie, thee/Koffiebonen	7.29	500 g
De­li­ca­ta Cho­co­la­de ei­tjes melk	Snoep, koek, chips/Gevulde paaseitjes	1.81	250 g
De­li­ca­ta Cho­co­la­de ei­tjes melk-puur-wit	Snoep, koek, chips/Mix paaseitjes	1.81	250 g
De­li­ca­ta Paasei­tjes melk pe­can ka­ra­mel zee­zout	Snoep, koek, chips/Gevulde paaseitjes	1.81	150 g
Clip­per Or­ga­nic le­mon & gin­ger tea 1-kops	Frisdrank, sappen, koffie, thee/Kruidenthee eenkops	2.55	20 stuks
Pickwick Spi­ces ca­ra­me­li­sed pear zwar­te thee	Frisdrank, sappen, koffie, thee/Bijzondere thee	1.49	20 stuks
Drink Me Chai Spi­ce lat­te bus	Frisdrank, sappen, koffie, thee/Bijzondere thee	3.99	250 g
Pickwick Pu­re or­ga­nic black bi­o­lo­gi­sche thee	Frisdrank, sappen, koffie, thee/Bijzondere thee	1.29	20 stuks
Clip­per Or­ga­nic le­mon & gin­ger tea 1-kops	Frisdrank, sappen, koffie, thee/Kruidenthee eenkops	2.55	20 stuks
Clip­per Or­ga­nic green tea le­mon 1-kops	Frisdrank, sappen, koffie, thee/Groene thee	2.35	20 stuks
Clip­per Or­ga­nic earl grey tea 1-kops	Frisdrank, sappen, koffie, thee/Zwarte thee eenkops	2.32	20 stuks
Clip­per Or­ga­nic green tea rasp­ber­ry-mint 1-kops	Frisdrank, sappen, koffie, thee/Groene thee	2.59	20 stuks
Clip­per Hap­py mon­days tea 1-kops	Frisdrank, sappen, koffie, thee/Bewuste thee	2.79	20 stuks
Clip­per Or­ga­nic green tea chai 1-kops	Frisdrank, sappen, koffie, thee/Groene thee	2.55	20 stuks
Clip­per Or­ga­nic green tea 1-kops	Frisdrank, sappen, koffie, thee/Groene thee	2.32	20 stuks
Clip­per Cal­mer cha­me­le­on tea 1-kops	Frisdrank, sappen, koffie, thee/Bewuste thee	2.79	20 stuks
Co­ca-Co­la Ze­ro su­gar mul­tipack	Frisdrank, sappen, koffie, thee/Cola light & suikervrije flessen	7.45	4 x 1,5 l
Lip­ton Green ice tea	Frisdrank, sappen, koffie, thee/IJsthee koolzuurvrij (pakken)	1.89	1,5 l
Co­ca-Co­la Re­gu­lar mul­tipack	Frisdrank, sappen, koffie, thee/Cola regular flessen	7.45	4 x 1,5 l
Co­ca-Co­la Re­gu­lar	Frisdrank, sappen, koffie, thee/Cola regular flessen	1.62	1 l
Co­ca-Co­la Re­gu­lar	Frisdrank, sappen, koffie, thee/Cola regular flessen	2.08	1,5 l
AH BASIC Oran­ge	Frisdrank, sappen, koffie, thee/Sinas blikjes - Multipack	0.18	0,33 l
Bar le Duc Mi­ne­raal­wa­ter ci­troen	Frisdrank, sappen, koffie, thee/Water met smaak	0.79	1,5 l
Lip­ton Ice tea spark­ling	Frisdrank, sappen, koffie, thee/IJsthee koolzuurhoudend	1.99	1,5 l
Crystal Clear Spark­ling le­mon	Frisdrank, sappen, koffie, thee/Frisdrank met fruit	1.29	1,5 l
Co­ca-Co­la Re­gu­lar	Frisdrank, sappen, koffie, thee/Cola regular blikjes	3.0	6 x 0,33 l
Fan­ta Oran­ge	Frisdrank, sappen, koffie, thee/Sinas flessen	1.79	1,5 l
Spa Brui­send mi­ne­raal­wa­ter ci­troen	Frisdrank, sappen, koffie, thee/Water met smaak	1.15	1 l
Spa Rei­ne kool­zuur­vrij mi­ne­raal­wa­ter	Frisdrank, sappen, koffie, thee/Flessen water (koolzuurvrij)	0.92	1,5 l
AH BASIC Wa­ter kool­zuur­vrij	Frisdrank, sappen, koffie, thee/Flesjes water (koolzuurvrij)	1.26	9 x 0,5 l
Bar le Duc Mi­ne­raal­wa­ter ci­troen	Frisdrank, sappen, koffie, thee/Water met smaak	0.79	1,5 l
AH Mi­ne­raal­wa­ter kool­zuur­vrij	Frisdrank, sappen, koffie, thee/Flesjes water (koolzuurvrij)	1.89	6 x 0,5 l
Spa Brui­send mi­ne­raal­wa­ter ci­troen	Frisdrank, sappen, koffie, thee/Water met smaak	1.15	1 l
Spa In­ten­se brui­send mi­ne­raal­wa­ter	Frisdrank, sappen, koffie, thee/Flessen water (koolzuurhoudend)	0.85	1 l
