Al­ler­han­de Box Paas­box	Aardappel, groente, fruit/Allerhande Box	37.5	per stuk
Ba­ke Fi­ve Mi­ni paas­haas af­bak­brood­jes	Bakkerij/Oven brood (feestdagen)	1.99	8 stuks
AH Ge­vul­de schar­relei­tjes met ker­rie	Kaas, vleeswaren, delicatessen/Gevulde scharreleitjes	3.5	8 stuks
AH Kaas­plak­ken in paas­haas­vorm jong be­le­gen	Ontbijtgranen, broodbeleg, tussendoor/Kaas beleg (feestdagen)	1.99	150 g
AH Hum­mus met groe­ne as­per­ges	Kaas, vleeswaren, delicatessen/Spreads, salades (feestdagen)	2.0	200 g
AH As­per­ge-been­ham sa­la­de met len­te-ui	Kaas, vleeswaren, delicatessen/Spreads, salades (feestdagen)	2.0	150 g
Wa­sa Vol­ko­ren	Ontbijtgranen, broodbeleg, tussendoor/Knackebrod	1.09	260 g
Wa­sa Rus­tiek	Ontbijtgranen, broodbeleg, tussendoor/Knackebrod	1.09	215 g
Wa­sa Crunch sen­sa­ti­on se­sam	Ontbijtgranen, broodbeleg, tussendoor/Knackebrod	1.79	220 g
AH Bor­rel­box	Kaas, vleeswaren, delicatessen/Borrelbox	15.0	per stuk
AH Ex­cel­lent Boe­ren­brie 45+	Kaas, vleeswaren, delicatessen/Brie	3.0	166 g
AH Ex­cel­lent Farm­hou­se ched­dar	Kaas, vleeswaren, delicatessen/Cheddar	2.32	ca. 145 g
AH Sweet­pep­pers met ver­se kaas	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (groente)	3.0	100 g
AH Groe­ne olij­ven met knof­look	Kaas, vleeswaren, delicatessen/Olijven hapjes	2.0	165 g
AH Zon­ge­droog­de to­maat­jes	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (groente)	1.8	120 g
AH Tapas­prik­kers 18 cm	Koken, tafelen, non-food/Prikkers, touw	1.79	50 stuks
AH Ex­cel­lent Spaan­se fuet	Kaas, vleeswaren, delicatessen/Droge worst - salami, fuet	2.69	175 g
AH Gel­der­se ge­kook­te worst	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (vlees)	2.0	170 g
AH Zaan­lan­der kaas­blok­jes oud 48+	Kaas, vleeswaren, delicatessen/Koude borrelhapjes (kaas)	3.0	175 g
AH Trio van ta­pe­na­de	Pasta, rijst, internationale keuken/Tapenade, bruschetta	3.0	200 g
Reo Pe­tit Ca­mem­bert au lait cru 22+	Kaas, vleeswaren, delicatessen/Camembert	4.5	150 g
AH Room­brie 60+	Kaas, vleeswaren, delicatessen/Brie	2.5	221 g
Chau­mes 50+	Kaas, vleeswaren, delicatessen/Specialiteiten	2.89	147 g
AH Gei­ten­kaas na­tu­rel 55+	Kaas, vleeswaren, delicatessen/Verse geitenkaas	1.5	125 g
AH Smeer­kaas na­tu­rel	Ontbijtgranen, broodbeleg, tussendoor/Smeerkaas	0.38	100 g
De Zaan­se Hoe­ve Jong be­le­gen 48+ plak­ken	Kaas, vleeswaren, delicatessen/Plakken jong belegen kaas (voorverpakt)	3.29	400 g
De Zaan­se Hoe­ve Jon­ge kaas 48+ plak­ken	Ontbijtgranen, broodbeleg, tussendoor/Plakken jonge kaas (voorverpakt)	3.09	400 g
De Zaan­se Hoe­ve Kaas ge­raspt mild 45+	Kaas, vleeswaren, delicatessen/Geraspte jong belegen kaas	1.49	200 g
