AH Ge­ma­ri­neer­de var­kens­fi­let­rol­la­de	Vlees, kip, vis, vega/Varkensvlees (feestdagen)	5.49	ca. 785 g
AH Var­kens­fi­let­rol­la­de	Vlees, kip, vis, vega/Varkensvlees (feestdagen)	4.59	ca. 770 g
AH Lams­haas­jes na­tu­rel	Vlees, kip, vis, vega/Lamsvlees (feestdagen)	8.99	ca. 310 g
AH Been­ham met ho­ning-mos­terd­saus	Vlees, kip, vis, vega/Varkensvlees (feestdagen)	12.99	ca. 1,3 kg
AH Ge­hak­trol­la­de met as­per­ge en ont­bijt­spek	Vlees, kip, vis, vega/Rundvlees  (feestdagen)	4.49	per stuk
AH Var­kens­haas oven­scho­tel	Vlees, kip, vis, vega/Varkensvlees (feestdagen)	6.89	ca. 495 g
AH Ge­vul­de ki­prol­la­de room­kaas en rau­we ham	Vlees, kip, vis, vega/Kip (feestdagen)	5.79	ca. 450 g
AH No­ten-as­per­ge­brood met tzat­zi­ki­saus	Vlees, kip, vis, vega/Vegetarisch (feestdagen)	6.99	575 g
AH Green­fields car­p­ac­cio	Ontbijtgranen, broodbeleg, tussendoor/Carpaccio (versafdeling)	3.35	123 g
AH Ex­cel­lent Zuid-Ame­ri­kaan­se rib-eye	Vlees, kip, vis, vega/Ribeye	10.47	ca. 300 g
AH Ex­cel­lent Bief­stuk	Vlees, kip, vis, vega/Runderbiefstuk (vers)	8.85	ca. 300 g
AH Ex­cel­lent Ne­der­land­se ros­bief	Vlees, kip, vis, vega/Rosbief (lappen)	11.38	ca. 720 g
Cê­la­Víta Part­jes met ro­ze­ma­rijn & Hi­ma­laya zout	Aardappel, groente, fruit/Aardappelpartjes (vers)	2.0	425 g
Cê­la­Víta Pata­tas bra­vas Me­di­ter­raans ge­kruid	Aardappel, groente, fruit/Aardappelpartjes (vers)	2.0	425 g
Cê­la­Víta Ro­ast po­ta­toes met ro­ze­ma­rijn	Aardappel, groente, fruit/Aardappelpartjes (vers)	2.0	425 g
AH Luxe gour­met­scho­tel	Verse kant-en-klaar maaltijden, salades/Gourmetschotels	8.99	750 g
AH Fees­te­lij­ke gour­met­scho­tel	Verse kant-en-klaar maaltijden, salades/Gourmetschotels	4.89	750 g
AH Mi­ni gour­met zalm­blok­jes	Vlees, kip, vis, vega/Gourmetvlees	4.5	200 g
AH Mi­ni scam­pi spies	Vlees, kip, vis, vega/Gourmetvlees	3.5	115 g
