AH bollen   Bakkerij/Afbakbroodjes wit  1.00	300 gr
AH Ba­gel na­tu­rel voor in de oven	Bakkerij/Afbakbroodjes wit	1.35	4 stuks
AH Bi­o­lo­gisch Ro­zen­brood­je	Bakkerij/Afbakbroodjes wit	1.99	4 stuks
AH Feest­stol	Snoep, koek, chips/Feeststol	1.99	per stuk
AH Ge­sne­den spelt­stol met aman­del­spijs	Snoep, koek, chips/Feeststol	1.75	4 stuks
AH Ge­sne­den vol­ko­ren stol	Snoep, koek, chips/Feeststol	1.75	4 stuks
AH Feest­stol­le­tje	Snoep, koek, chips/Feeststol	0.55	100 g
Ba­ke Fi­ve Mi­ni paas­haas af­bak­brood­jes	Bakkerij/Oven brood (feestdagen)	1.99	8 stuks
AH Voor­ge­bak­ken brood­jes wit meer­gra­nen	Bakkerij/Oven brood (feestdagen)	1.19	4 stuks
AH Paas­ei bol­le­tjes wit en bruin	Bakkerij/Broodjes (feestdagen)	1.79	320 g
AH Bri­o­che brood­haan­tje	Bakkerij/Broodjes (feestdagen)	0.99	100 g
AH Sco­nes & hot cross buns	Bakkerij/Broodjes (feestdagen)	2.69	405 g
AH Zaan­se dui­ve­ka­ter	Bakkerij/Broodjes (feestdagen)	1.55	400 g
Ar­la Bi­o­lo­gisch smeer­baar on­ge­zou­ten	Zuivel, eieren/Smeerbare roomboter (ongezouten)	2.49	200 g
Ar­la Bi­o­lo­gisch smeer­baar ge­zou­ten	Zuivel, eieren/Smeerbare roomboter (gezouten)	2.49	200 g
Ar­la Bi­o­lo­gi­sche room­bo­ter on­ge­zou­ten	Zuivel, eieren/Ongezouten roomboter	2.69	200 g
AH Tom­pou­cen	Bakkerij/Cake en gebak (feestdagen)	3.0	4 stuks
AH Tom­pou­ce vlaai half	Bakkerij/Tompoucen (vers)	6.0	per stuk
AH Mi­ni tom­pou­ce ca­ra­mel	Bakkerij/Tompoucen (vers)	2.0	4 stuks
AH Man­go fram­boos bol­taartje	Bakkerij/Cake en gebak (feestdagen)	8.0	per stuk
AH Paas­soes­jes	Bakkerij/Cake en gebak (feestdagen)	3.5	11 stuks
AH Paas­bol­len	Bakkerij/Cake en gebak (feestdagen)	3.0	2 stuks
AH Mos­ko­vi­sche tul­band	Bakkerij/Cake en gebak (feestdagen)	2.99	300 g
AH Cho­co­la­de­taart pun­ten	Bakkerij/Taart	3.0	2 stuks
AH Ha­zel­noot­taart pun­ten	Bakkerij/Taart	3.0	2 stuks
AH Stroop­wa­fel vlaai half	Bakkerij/Vlaai	6.0	per stuk
AH Chee­se­ca­ke	Bakkerij/Taart	6.0	per stuk
AH Ker­sen ski vlaai	Bakkerij/Vlaai	6.0	per stuk
Pi­card Mi­ni-éclairs	Diepvries/Diepvries patisserie	6.99	170 g
Pi­card Mi­ni-chee­se­ca­kes	Diepvries/Diepvries patisserie	6.99	200 g
Pi­card Ma­ca­rons	Diepvries/Diepvries patisserie	5.99	160 g
AH Lief­de & Pas­sie San Fran­si­co zuur­de­sem	Bakkerij/Wit brood (ovenvers)	2.69	per stuk
AH Lief­de & Pas­sie Meer­za­den (on­ge­sne­den)	Bakkerij/Meergranen brood (ovenvers)	2.49	per stuk
