AH Lief­de & Pas­sie spelt (vers in­ge­vro­ren)	Bakkerij/Speltbrood (vers ingevroren)	2.59	per stuk
AH Lief­de & Pas­sie Pe­tit beur­re (vers in­ge­vro­ren)	Bakkerij/Wit brood (heel, vers ingevroren)	1.0	per stuk
AH Lief­de & Pas­sie Pe­tit ce­reals (vers in­ge­vro­ren)	Bakkerij/Meergranen brood (vers ingevroren)	1.0	per stuk
Pi­card Crois­sants	Diepvries/Diepvries patisserie	3.5	550 g
Pi­card Mi­ni cho­co­la­de­brood­jes	Diepvries/Diepvries patisserie	2.69	250 g
Pi­card Wen­tel­teef­jes met ge­zou­ten ka­ra­mel­saus	Diepvries/Diepvries patisserie	2.99	156 g
Pi­card Mi­ni chee­se­bur­gers	Diepvries/Diepvries hapjes	5.99	165 g
Tas­te of the World Cô­te de boeuf	Diepvries/Steak (diepvries)	27.49	ca. 1100 g
Tas­te of the World Ri­beye graan­ge­voerd	Diepvries/Steak (diepvries)	10.0	ca. 250 g
Tas­te of the World Lams­haas­jes	Vlees, kip, vis, vega/Diepvries lamsvlees	17.59	ca. 550 g
Pi­card Ti­ra­mi­su	Diepvries/Diepvries desserts	3.99	160 g
Pi­card Crè­me brûlées	Diepvries/Diepvries desserts	3.99	200 g
Pi­card Cho­co­la­de­fon­dant	Diepvries/Diepvries desserts	3.5	200 g
AH Doos­je­vol zo­mer­fruit	Diepvries/Fruitmix - diepvries	1.89	250 g
AH Doos­je­vol blau­we bes-fram­boos	Aardappel, groente, fruit/Blauwe bessen (diepvries)	1.69	250 g
AH Doos­je­vol man­go­stuk­jes	Diepvries/Mango (diepvries)	1.45	250 g
Pi­card Mi­ni qui­ches	Diepvries/Diepvries hapjes	4.99	270 g
Pi­card Mi­ni chee­se­bur­gers	Diepvries/Diepvries hapjes	5.99	165 g
Pi­card Mi­ni wor­sten­brood­jes	Diepvries/Diepvries hapjes	4.69	350 g
AH IJs­stam va­nil­le cho­co	Zuivel, eieren/IJstaarten	1.29	650 ml
Vi­en­net­ta Va­nil­le	Zuivel, eieren/IJstaarten	2.79	750 ml
AH Bi­o­lo­gisch Room­ijs va­nil­le	Zuivel, eieren/Roomijs	2.79	1 l
Her­tog IJs slag­room	Zuivel, eieren/Roomijs	2.65	900 ml
Her­tog IJs ro­mi­ge va­nil­le	Zuivel, eieren/Roomijs	2.69	900 ml
Ben & Jer­ry's IJs coo­kie dough	Zuivel, eieren/Premiumijs	5.49	500 ml
Ben & Jer­ry's IJs Top­ped sal­ted ca­ra­mel brow­nie	Zuivel, eieren/Premiumijs	5.9	470 ml
AH Room­ijs strac­ci­a­tel­la	Zuivel, eieren/Roomijs	2.79	1 l
Brey­ers Cho­co­la­te	Zuivel, eieren/Roomijs	4.99	500 ml
Dol­ce­ria Al­ba Ti­ra­mi­su con sa­voi­ar­di	Zuivel, eieren/IJstaarten	1.49	70 g
Ola IJs ra­ket	Zuivel, eieren/Waterijsjes (ijslollies)	2.65	12 stuks
AH Room­ijs va­nil­le	Zuivel, eieren/Roomijs	1.85	1 l
Ben & Jer­ry's IJs coo­kie dough	Zuivel, eieren/Premiumijs	5.49	500 ml
AH BASIC IJs­hoorn­tjes	Zuivel, eieren/Roomijsjes	1.39	8 x 120 ml
Vi­en­net­ta Va­nil­le	Zuivel, eieren/IJstaarten	2.79	750 ml
Mag­num IJs mi­ni clas­sic al­mond whi­te	Zuivel, eieren/Roomijsjes	5.45	10 stuks
AH BASIC Mi­ni cho­co	Zuivel, eieren/Roomijsjes	1.99	12 stuks
Her­tog IJs cho­co­la­de mo­ment­je	Zuivel, eieren/Premiumijs	1.19	200 ml
Her­tog IJs ka­ra­mel trak­ta­tie	Zuivel, eieren/Roomijs	1.19	200 ml
Cor­net­to IJs mi­ni mix clas­si­co	Zuivel, eieren/Roomijsjes	2.5	6 stuks
Mag­num Al­mond	Zuivel, eieren/Roomijsjes	2.99	6 stuks
Mag­num Clas­sic	Zuivel, eieren/Roomijsjes	2.99	6 stuks
Dr. Oet­ker Ris­to­ran­te piz­za sa­la­me	Diepvries/Pizza (dunne bodem)	2.69	320 g
Dr. Oet­ker Ris­to­ran­te piz­za moz­za­rel­la	Diepvries/Pizza (dunne bodem)	2.69	325 g
Dr. Oet­ker Ris­to­ran­te piz­za Ha­waii	Diepvries/Pizza (dunne bodem)	2.59	355 g
AH Kro­kan­te piz­za sa­la­mi	Diepvries/Pizza (dunne bodem)	1.99	320 g
Dr. Oet­ker Ris­to­ran­te piz­za quat­tro for­mag­gi	Diepvries/Pizza (dunne bodem)	2.59	340 g
Dr. Oet­ker Big Ame­ri­cans piz­za Texas	Diepvries/Pizza (dikke bodem)	3.25	435 g
