AH Room­bo­ter paas­haas	Zuivel, eieren/Boter (feestdagen)	1.69	100 g
AH Ge­kleur­de schar­rel­ei­e­ren	Zuivel, eieren/Versier eieren	1.79	6 stuks
AH Ge­vul­de schar­relei­tjes met ker­rie	Kaas, vleeswaren, delicatessen/Gevulde scharreleitjes	3.5	8 stuks
AH Chee­se­ca­ke man­go-pas­sie­vrucht	Zuivel, eieren/Dessert (feestdagen)	3.49	470 g
AH Ko­kos­mous­se met man­go­saus	Zuivel, eieren/Dessert (feestdagen)	1.59	250 g
AH Ge­kleur­de schar­rel­ei­e­ren	Zuivel, eieren/Versier eieren	1.79	6 stuks
AH Schar­rel­ei­e­ren klas­se M	Zuivel, eieren/Scharrel eieren	2.29	10 stuks
AH BASIC Wit­te schar­rel­ei­e­ren	Zuivel, eieren/Scharrel eieren	1.59	10 stuks
AH Bi­o­lo­gisch Ei­e­ren	Zuivel, eieren/Vrije uitloop eieren	2.95	10 stuks
AH Schar­rel­ei­e­ren klas­se L	Zuivel, eieren/Scharrel eieren	2.85	10 stuks
AH Schar­rel­ei­e­ren M voor­deel	Zuivel, eieren/Scharrel eieren	3.65	20 stuks
AH Schar­rel­ei­e­ren klas­se M	Zuivel, eieren/Scharrel eieren	1.65	6 stuks
AH Schar­rel­ei­e­ren XL	Zuivel, eieren/Scharrel eieren	3.49	10 stuks
Van Beek Bi­o­lo­gi­sche ei­e­ren	Zuivel, eieren/Vrije uitloop eieren	3.75	10 stuks
AH Schar­rel­ei L 1-ster	Zuivel, eieren/Scharrel eieren	1.31	4 stuks
AH Ver­se ron­deel­ei­e­ren	Zuivel, eieren/Rondeeleieren	2.09	7 stuks
Van Beek Schar­rel kwar­tel­ei­e­ren	Zuivel, eieren/Scharrel eieren	3.39	12 stuks
AH Room­bo­ter ge­zou­ten	Zuivel, eieren/Gezouten roomboter	2.15	250 g
AH Room­bo­ter on­ge­zou­ten	Zuivel, eieren/Ongezouten roomboter	2.15	250 g
AH Smeer­ba­re room­bo­ter on­ge­zou­ten	Zuivel, eieren/Smeerbare roomboter (ongezouten)	2.39	250 g
AH Smeer­ba­re room­bo­ter ge­zou­ten	Zuivel, eieren/Smeerbare roomboter (gezouten)	2.39	250 g
Cam­pi­na Bo­ter­goud on­ge­zou­ten gras­bo­ter kuip­je	Zuivel, eieren/Smeerbare roomboter (ongezouten)	2.25	225 g
Cam­pi­na Bo­ter­goud on­ge­zou­ten room­bo­ter	Zuivel, eieren/Ongezouten roomboter	2.19	250 g
Lur­pak Smeer­baar on­ge­zou­ten	Zuivel, eieren/Smeerbare roomboter (ongezouten)	2.29	250 g
Lur­pak Smeer­baar ge­zou­ten	Zuivel, eieren/Smeerbare roomboter (gezouten)	2.29	250 g
AH Ex­cel­lent Room­bo­ter zee­zout rol	Zuivel, eieren/Gezouten roomboter	2.29	250 g
Van der Pol Bra­bant­sche room­bo­ter	Zuivel, eieren/Gezouten roomboter	1.99	250 g
Ech­te Bo­ter Pak­je on­ge­zou­ten	Zuivel, eieren/Ongezouten roomboter	2.19	250 g
Ech­te Bo­ter Cupjes­ver­pak­king on­ge­zou­ten	Zuivel, eieren/Smeerbare roomboter (ongezouten)	1.49	10 x 10 g
AH Feest­stol	Snoep, koek, chips/Feeststol	1.99	per stuk
AH Ge­sne­den spelt­stol met aman­del­spijs	Snoep, koek, chips/Feeststol	1.75	4 stuks
